organization,count
BJP,15361
Congress,13768
Budget,5123
CBI,3680
Sensex,2968
SBI,2656
NTPC,2363
RBI,2298
PTI,2261
Parliament,2176
IPO,2084
Army,1948
CM,1768
Assembly,1763
BSE,1711
IST,1694
the Supreme Court,1674
NDA,1614
House,1499
BCCI,1459
Trump,1422
Reuters,1380
FIR,1378
Uttar Pradesh,1378
State,1353
RSS,1336
U.S,1320
Cabinet,1303
NCP,1301
UP,1009
UN,966
Google,957
Apple,934
EU,933
AP,906
Centre,870
Government,870
Maharashtra,863
UPA,835
ODI,830
EC,791
BSP,753
VHP,743
Taliban,731
DMK,723
SC,691
ED,663
Bollywood,654
AI,652
Union,651
Amazon,649
International  Events,634
Finance,625
EV,620
SP,612
Daily  International  News  Updates,596
Reliance,590
IPL,571
Akasa,571
Mayawati,571
TVS,570
Commission,570
Instagram,557
IAF,546
Infosys,542
Hamas,532
BMC,531
Home,529
Kejriwal,527
FDI,526
Navy,525
PCB,523
IPC,517
Bank,515
Chennai,508
Chelsea,506
IAS,504
BSF,503
IIT,502
Hyderabad,501
Nifty,493
MUMBAI,490
Fed,484
ICC,484
Supreme Court,479
Tata,473
Naidu,468
IOC,467
Pune,466
Rohit,460
ANI,459
TMC,458
CCTV,452
Microsoft,445
Board,445
INR,443
United,436
Madhya Pradesh,436
IMD,433
SIT,427
West Indies,424
IPS,419
Ganguly,416
the High Court,415
Defence,412
DGP,407
Andhra Pradesh,405
Supreme  Court,401
the Election Commission,399
GMR,398
PIL,398
Adani,392
Tendulkar,391
CPM,390
AIADMK,389
Opposition,386
CAG,385
NIA,385
TheIndian Express,380
Android,379
Air India,377
Airtel,376
Thackeray,376
Group,371
AMC,367
National,367
NATO,366
MW,365
Camlins,364
PMC,362
GM,358
FIFA,354
the West Indies,353
YoY,353
Banerjee,349
Central,346
Pragya,344
Arsenal,342
Liverpool,342
RIL,338
Air,338
The Supreme Court,333
Samajwadi Party,327
TOI,325
MGK,323
Railway,321
NewDelhi,321
PDP,321
PUNE,317
Himachal Pradesh,310
CRPF,308
Champions League,308
HRD,305
MEA,303
AAP,302
AIIMS,301
Left,298
Senate,298
WTO,294
Bharti,292
Mamata,291
SAT,284
Prasad,282
Samsung,281
Union Home,280
ISI,280
congress,279
Justice,275
External Affairs,275
Next,274
Aadhaar,273
ONGC,272
Islam,272
BBC,272
Court,271
F &O  Radar,266
Chidambaram,265
Sitharaman,264
NASA,262
FBI,257
Mahindra,255
Juventus,254
J&K,252
Reserve  Bank,249
COVID-19,246
OBC,246
LTTE,245
ITC,241
Times,238
Jain,237
Real Madrid,237
Ayodhya,236
IAEA,236
Federer,234
Mercedes,234
NBA,232
Shah,232
Sony,232
Tata  Motors,231
DSP,231
MCA,231
Trinamool Congress,230
NFL,228
Boeing,227
Varun,227
Uttar  Pradesh,225
Rajya Sabha,225
TCS,224
CJI,222
Fox,218
PDF,218
the Champions League,217
Meghalaya,217
ULFA,216
Treasury,215
Uttarakhand,215
Virat Kohli,213
The Indian Express,211
the White House,210
CNN,207
Kashmiri,207
Chopra,206
GMT,206
POTA,204
the Bombay High Court,204
Air  India,203
CISF,203
iPhone,203
KKR,202
UGC,202
AFP,202
Maldives,201
Education,200
the Government of India,200
AAI,200
VC,199
Premier League,199
IMF,198
Alberta  Finance,196
AIFF,196
BJD,196
Sidhu,195
Bharat,194
Sehwag,193
PMO,192
ASI,191
Deploy  Bear  Put  Spread,191
Karachi,191
UAE,191
MNS,190
HDFC  Bank,190
MSP,189
SECTIONS  Stock,188
Marathi,188
CBSE,188
Malhotra,187
White House,184
Flipkart,184
ACB,184
MT,184
PCC,184
JMM,183
Rajya,183
Tatas,183
ISL,182
UEFA,182
ICU,181
Reddy,180
Kremlin,180
the Home Ministry,179
